datadate,단가(원),거래량,거래대금(원),경매건수,도매시장코드,도매법인코드,산지코드 ,해당일자_전체평균가격(원),해당일자_전체거래물량(kg),하위가격 평균가(원),상위가격 평균가(원),하위가격 거래물량(kg),상위가격 거래물량(kg),일자별_도매가격_최대(원),일자별_도매가격_평균(원),일자별_도매가격_최소(원),일자별_소매가격_최대(원),일자별_소매가격_평균(원),일자별_소매가격_최소(원),수출중량(kg),수출금액(달러),수입중량(kg),수입금액(달러),무역수지(달러),주산지_0_초기온도(℃),주산지_0_최대온도(℃),주산지_0_최저온도(℃),주산지_0_평균온도(℃),주산지_0_강수량(ml),주산지_0_습도(%),주산지_1_초기온도(℃),주산지_1_최대온도(℃),주산지_1_최저온도(℃),주산지_1_평균온도(℃),주산지_1_강수량(ml),주산지_1_습도(%),주산지_2_초기온도(℃),주산지_2_최대온도(℃),주산지_2_최저온도(℃),주산지_2_평균온도(℃),주산지_2_강수량(ml),주산지_2_습도(%),일자구분_중순,일자구분_초순,일자구분_하순,월구분_10월,월구분_11월,월구분_12월,월구분_1월,월구분_2월,월구분_3월,월구분_4월,월구분_5월,월구분_6월,월구분_7월,월구분_8월,월구분_9월
20130115,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,-6.1,3.9,-8,-3.4,0,28.6,,,,,,,-9.5,1.4,-14,-8,0,40.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130116,2977.02,324,963036,6,330201,33020101,138,2657.161252,6615,2344.256652,3059.235556,3720,2895,70000,61200,58000,10000,8376.086957,7000,0,0,921037,2116603,-2116603,-2.6,6.7,-4.6,0.4,0,40.4,,,,,,,-9.8,4.3,-14.2,-6.7,0,59.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130117,3166.83,36,113886,2,220001,22000101,800,3162.172739,6412,3017.12069,3300.679756,3132,3280,70000,61200,58000,10000,8376.086957,7000,0,0,921037,2116603,-2116603,-0.6,8.6,-2.2,2.4,0,39.7,,,,,,,-8.3,5.9,-12.2,-5.1,0,60.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130118,69.93,200,14785.2,1,350402,35040202,500,2916.417836,13152,2771.821291,3108.173212,7498,5654,70000,61200,58000,10000,8376.086957,7000,0,0,921037,2116603,-2116603,1.5,6.8,1,4.3,0,43.8,,,,,,,-6.6,4.5,-9.3,-3.2,0,61.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130119,3996,270,1081080,3,310101,31010103,138,3196.223485,5324,2466.274213,4438.989911,3354,1970,70000,61200,58000,10000,8289.130435,7000,0,0,921037,2116603,-2116603,2.2,8.4,1,5.4,0,62.1,,,,,,,-6.5,7.9,-10.1,-2.9,0,71.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130120,3293.29,1241,4092088,1,110001,11000105,800,2937.524277,10627,2764.632853,3402.368764,7746,2881,70000,61200,58000,10000,8289.130435,7000,0,0,921037,2116603,-2116603,3.4,3.7,-2.4,1.6,0,57.9,,,,,,,-4.4,-1,-6.7,-3.5,0,73.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20130121,2937.06,324,954954,1,110001,11000102,800,3036.918819,3272,1930.000532,3267.458669,564,2708,,,,,,,0,0,921037,2116603,-2116603,-2.8,3.3,-4.9,-1.5,0,53.6,,,,,,,-6.6,1,-13.1,-6.8,0,67.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130122,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,-1.6,-1,-4.8,-2.2,0,52,,,,,,,-3.1,-2,-8.8,-4.3,1,51.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130123,2002,10,19980,1,310901,31090101,901,2965.810507,18018,2825.814975,3422.983416,13794,4224,70000,61200,58000,10000,8289.130435,7000,0,0,921037,2116603,-2116603,-5.2,1.2,-7.5,-4.7,0,37.8,,,,,,,-9.4,-2.1,-15.8,-8.5,1,50.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130124,3496.5,36,125874,1,330201,33020102,800,3171.29806,4567,2892.446452,3352.365302,1798,2769,70000,61200,58000,10000,8289.130435,7000,0,0,921037,2116603,-2116603,-4.8,3.4,-6.2,-2.6,0,36.6,,,,,,,-12.6,1,-16.1,-9.8,0,54.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130125,,,,,,,,,,,,,,70000,61200,58000,10000,8261.363636,7000,0,0,921037,2116603,-2116603,-2.9,6,-4.5,-0.1,0,34.8,,,,,,,-12.3,3.1,-16.3,-8.4,0,57.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130126,,,,,,,,,,,,,,70000,61200,58000,10000,8261.363636,7000,0,0,921037,2116603,-2116603,-1.5,9.7,-3.5,2.5,0,29,,,,,,,-11.7,5.5,-15.5,-5.5,0,52.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130127,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,4.6,9,2,5.7,0,26.9,,,,,,,-2.4,5.9,-3.2,2.2,0,33.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130128,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,1.7,10.4,-1.6,5.3,0,34.1,,,,,,,-3,9.6,-11.5,-2.1,0,46.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130129,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,5.1,7.2,4.7,6,0,61.5,,,,,,,-0.6,8.1,-1.4,4.7,1,60.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130130,,,,,,,,,,,,,,,,,,,,0,0,921037,2116603,-2116603,5.5,6.1,1,4.1,1,54.6,,,,,,,3,3,-5.8,0.2,1,66.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130131,,,,,,,,,,,,,,70000,61200,58000,10000,8261.363636,7000,0,0,921037,2116603,-2116603,-1.1,7.9,-4.3,1.4,0,40.9,,,,,,,-6.2,2.8,-11.4,-5.1,1,59.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
20130201,3673.67,300,1098900,5,310101,31010101,138,3096.555209,8497,2085.893038,3418.749855,2054,6443,70000,61200,58000,10000,8261.363636,7000,0,0,988944,2160310,-2160310,1,7.4,-1.3,3.2,0,30.8,,,,,,,-3.6,5,-6.1,-1.5,0,38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130202,3496.5,90,314685,1,340101,34010102,138,3098.826592,15115,2519.641734,3269.99565,3448,11667,70000,61200,58000,10000,8308.823529,7000,0,0,988944,2160310,-2160310,-0.5,9.5,-3.3,2.7,0,27,,,,,,,-4.2,6.5,-11,-2.7,0,41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130203,3063.06,972,2967030,1,110001,11000103,800,3177.879959,11058,2899.649541,3493.601657,5878,5180,70000,61200,58000,10000,8308.823529,7000,0,0,988944,2160310,-2160310,2,10.5,1,6.5,0,42.5,,,,,,,-4.9,7.9,-9.7,-1.7,0,61.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130204,4004,15,59940,1,350301,35030101,560,3799.715019,2574,3262.304644,6329.476053,2123,451,,,,,,,0,0,988944,2160310,-2160310,5,15.2,2.6,8.3,0,30.8,,,,,,,-4.9,11,-8.8,0.5,0,55.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130205,,,,,,,,,,,,,,,,,,,,0,0,988944,2160310,-2160310,10,14.3,4.7,8.6,1.1,58.4,,,,,,,3,10.7,1,4.4,0,55.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130206,7152.84,420,3010607.6,2,250001,25000102,135,3525.646252,7437,3252.446391,4512.07898,5824,1613,70000,61200,58000,10000,8397.5,7000,0,0,988944,2160310,-2160310,4.1,7.9,1,3.9,1.1,39.5,,,,,,,1.6,5.2,-6.2,0.5,0,48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130207,3243.24,918,2972970,5,350301,35030101,330,3022.078509,13240,1978.377719,3285.224556,2666,10574,,,,,,,0,0,988944,2160310,-2160310,0.7,8.7,-1.4,4.4,0,51.8,,,,,,,-6,6.8,-10.3,-3,0,59.2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130208,3323.32,198,657342,2,310901,31090101,901,3230.067032,6937,3041.0343,3509.865213,4140,2797,,,,,,,0,0,988944,2160310,-2160310,3.9,9.1,1,4.8,0,46.9,,,,,,,-3.8,6.1,-8,-0.6,0,54.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130209,7037.03,5,35109.855,1,330201,33020102,800,3069.203708,7083,2720.661728,3265.513382,2552,4531,,,,,,,0,0,988944,2160310,-2160310,2.7,4.6,-3.6,1.6,0,36.6,,,,,,,0.5,2.1,-6.4,-2.8,0,40.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130210,3373.37,459,1549548,12,230003,23000302,800,3378.470459,10118,3168.53944,3889.789711,7173,2945,,,,,,,0,0,988944,2160310,-2160310,-4.1,1.5,-5.8,-3.1,0,37.1,,,,,,,-6.8,-1.2,-8.7,-5.4,0,41.6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20130211,3056.94,630,1926925,5,230001,23000103,800,3360.534988,4513,3052.562433,3869.178261,2811,1702,,,,,,,0,0,988944,2160310,-2160310,-3.7,3.8,-5.9,-2.1,0,40.1,,,,,,,-6.1,2,-11.7,-5.7,0,46.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130212,,,,,,,,,,,,,,,,,,,,0,0,988944,2160310,-2160310,-1.7,7.5,-3.1,1.5,0,40.9,,,,,,,-7,4.9,-12.6,-4.5,0,55.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130213,3646.35,17,61938,1,220001,22000105,702,3331.834353,3983,3109.107372,4351.574549,3269,714,,,,,,,0,0,988944,2160310,-2160310,1.4,9.5,-1.6,5.1,0,39.5,,,,,,,-6.5,7.1,-12.2,-3.1,0,57.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130214,5694.3,20,113886,1,370101,37010103,800,3295.290941,10580,3153.164079,3574.015521,7007,3573,,,,,,,0,0,988944,2160310,-2160310,3.7,7.4,1,4.5,0,63.5,,,,,,,-4.3,7.4,-7.9,-1.5,0,64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130215,3503.5,18,63063,1,220001,22000104,800,3136.054312,11481,2971.600267,3215.79283,3749,7732,,,,,,,0,0,988944,2160310,-2160310,1.2,13.4,1,8.6,0,33.7,,,,,,,-5.8,10.7,-10.2,-1.3,0,55.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130216,3606.39,18,65065,1,320301,32030101,138,3378.107527,3611,3175.69622,3714.316139,2254,1357,,,,,,,0,0,988944,2160310,-2160310,7.8,17.8,4.8,11.3,0,32.4,,,,,,,-3.3,14.4,-7.9,3.8,0,45.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130217,2082.08,2516,5229224,2,110001,11000101,800,2635.409049,5068,2061.018634,3229.160939,2576,2492,,,,,,,0,0,988944,2160310,-2160310,13.2,15.1,4.1,12,0,47.4,,,,,,,8.6,11.2,-1.9,8.3,1.9,58.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130218,3196.8,144,460539,4,370101,37010101,800,3212.53683,4441,2987.845975,3550.65031,2668,1773,,,,,,,0,0,988944,2160310,-2160310,3.3,6.7,-1,3.8,0,25.1,,,,,,,-0.6,4.3,-5.6,-0.9,2,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130219,,,,,,,,,,,,,,,,,,,,0,0,988944,2160310,-2160310,1,12.5,1,7.5,1.8,45.4,,,,,,,-3.2,8.5,-9.1,0.2,0,54,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130220,2892.89,1944,5621616,2,311201,31120106,800,3129.715208,14980,2946.802487,3382.1429,8686,6294,,,,,,,0,0,988944,2160310,-2160310,7,11.5,1,8,1.3,55.1,,,,,,,3,8.2,-3.9,3.7,11.6,65.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20130221,6506.5,10,64935,1,320301,32030101,138,3194.170699,7168,2968.406346,3350.346134,2931,4237,,,,,,,0,0,988944,2160310,-2160310,0.3,7.2,-2.1,3.5,1.2,53.6,,,,,,,-4.1,7.3,-8.4,-1.3,13.5,64.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130222,3243.24,918,2972970,25,250001,25000101,138,3125.562648,8809,2877.360535,3378.601346,4447,4362,,,,,,,0,0,988944,2160310,-2160310,3.5,7,3,5.4,8.5,81.8,,,,,,,-2,4.5,-2.4,2,6.8,87.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130223,3063.06,972,2967030,13,250001,25000102,800,3233.014513,10505,3123.179615,3330.216329,4932,5573,,,,,,,0,0,988944,2160310,-2160310,6.4,6.5,1,4.6,20.4,60.4,,,,,,,4,4.3,-2.6,2.6,14,66,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130224,3216.78,18,58058,1,330201,33020101,760,3348.292473,3255,3097.362809,5478.634114,2912,343,,,,,,,0,0,988944,2160310,-2160310,0.2,7.9,-2.6,2.7,0,41.2,,,,,,,-2.4,5.5,-7.3,-0.9,0,50.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130225,3396.6,477,1626024.4,11,250003,25000301,800,3307.317737,3199,2526.790689,3536.457501,726,2473,,,,,,,0,0,988944,2160310,-2160310,1.9,11,1,6.3,0,40.4,,,,,,,-1.5,9.1,-6.7,0.7,0,56.3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130226,,,,,,,,,,,,,,,,,,,,0,0,988944,2160310,-2160310,4.6,9.7,1,5.8,0,51.9,,,,,,,-2.8,10.2,-6,1.3,0,64.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130227,599.4,15,9009,1,350402,35040201,560,3290.375982,3411,3087.607611,3743.815308,2357,1054,,,,,,,0,0,988944,2160310,-2160310,5.2,7.9,4.4,6.1,1.5,76.7,,,,,,,-1.9,11.9,-5.4,1.8,0,76,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130228,3413.41,17,57942,1,371501,37150101,702,4021.082486,17962,3038.61682,11063.65015,15763,2199,,,,,,,0,0,988944,2160310,-2160310,4.1,14.4,2.4,7.8,1.6,62,,,,,,,-1,12.4,-3.7,2.8,0,69.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20130301,879.12,918,810810,1,110001,11000101,800,2592.085352,4342,1777.926945,3360.324351,2108,2234,,,,,,,7601,27949,1516920,3463107,-3435158,6.9,14.3,4.9,9.1,0,46.3,,,,,,,-1.7,11.9,-3.4,3.2,0,61.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
